Date,Number of game,Team,At-bats 14 Game Window,Hits 14 Game Window,RBIs 14 Game Window,Team Earned Runs 14 Game Window,BA 14 Game Window,SLG 14 Game Window,OBP 14 Game Window,OPS 14 Game Window,ISO 14 Game Window
2016-09-09,0,TBA,481.0,132.0,62.0,73.0,0.27442827442827444,0.46153846153846156,0.3204633204633205,0.782001782001782,0.18711018711018712
2016-09-10,0,TBA,490.0,137.0,65.0,79.0,0.2795918367346939,0.47346938775510206,0.3270321361058601,0.8005015238609622,0.19387755102040816
2016-09-11,0,TBA,489.0,135.0,64.0,80.0,0.27607361963190186,0.4662576687116564,0.32514177693761814,0.7913994456492746,0.19018404907975456
2016-09-12,0,TBA,491.0,135.0,66.0,76.0,0.27494908350305497,0.4725050916496945,0.3239171374764595,0.796422229126154,0.19755600814663954
2016-09-13,0,TBA,481.0,124.0,59.0,75.0,0.2577962577962578,0.446985446985447,0.30902111324376197,0.756006560229209,0.1891891891891892
2016-09-14,0,TBA,479.0,122.0,60.0,68.0,0.2546972860125261,0.4572025052192067,0.31679389312977096,0.7739963983489777,0.20250521920668058
2016-09-15,0,TBA,484.0,127.0,64.0,66.0,0.26239669421487605,0.4607438016528926,0.32264150943396225,0.7833853110868548,0.19834710743801653
2016-09-16,0,TBA,486.0,127.0,65.0,64.0,0.2613168724279835,0.4567901234567901,0.31886792452830187,0.775658047985092,0.19547325102880658
2016-09-17,0,TBA,487.0,129.0,61.0,66.0,0.2648870636550308,0.44969199178644764,0.31688804554079697,0.7665800373272447,0.18480492813141686
2016-09-18,0,TBA,486.0,122.0,59.0,63.0,0.25102880658436216,0.4382716049382716,0.3055028462998102,0.7437744512380818,0.18724279835390945
2016-09-20,0,TBA,483.0,120.0,57.0,60.0,0.2484472049689441,0.4409937888198758,0.30666666666666664,0.7476604554865425,0.19254658385093168
2016-09-21,0,TBA,487.0,123.0,56.0,58.0,0.25256673511293637,0.44763860369609854,0.3087121212121212,0.7563507249082198,0.19507186858316217
2016-09-22,0,TBA,486.0,123.0,60.0,59.0,0.25308641975308643,0.4711934156378601,0.3092979127134725,0.7804913283513326,0.21810699588477367
2016-09-23,0,TBA,477.0,117.0,55.0,54.0,0.24528301886792453,0.4612159329140461,0.3003875968992248,0.7616035298132708,0.21593291404612158
2016-09-24,0,TBA,471.0,111.0,52.0,52.0,0.2356687898089172,0.4437367303609342,0.29215686274509806,0.7358935931060322,0.208067940552017
2016-09-25,0,TBA,470.0,110.0,51.0,51.0,0.23404255319148937,0.43829787234042555,0.2865612648221344,0.7248591371625599,0.2042553191489362
2016-09-26,0,TBA,474.0,111.0,52.0,48.0,0.23417721518987342,0.4282700421940928,0.2884990253411306,0.7167690675352234,0.1940928270042194
2016-09-27,0,TBA,471.0,111.0,49.0,54.0,0.2356687898089172,0.4140127388535032,0.29571984435797666,0.7097325832114798,0.178343949044586
2016-09-28,0,TBA,478.0,118.0,53.0,62.0,0.24686192468619247,0.42677824267782427,0.3038461538461538,0.730624396523978,0.1799163179916318
2016-09-29,0,TBA,477.0,114.0,48.0,61.0,0.2389937106918239,0.4088050314465409,0.2857142857142857,0.6945193171608266,0.169811320754717
2016-09-30,0,TBA,473.0,112.0,45.0,63.0,0.23678646934460887,0.4080338266384778,0.2868369351669941,0.6948707618054719,0.17124735729386895
2016-10-01,0,TBA,468.0,104.0,39.0,60.0,0.2222222222222222,0.38461538461538464,0.27236580516898606,0.6569811897843707,0.16239316239316243
2016-10-02,0,TBA,466.0,99.0,39.0,56.0,0.21244635193133046,0.36909871244635195,0.2664015904572565,0.6355003029036084,0.1566523605150215
2017-04-02,0,TBA,474.0,106.0,39.0,58.0,0.22362869198312235,0.37763713080168776,0.273972602739726,0.6516097335414137,0.1540084388185654
2017-04-04,0,TBA,479.0,113.0,44.0,58.0,0.2359081419624217,0.3987473903966597,0.28294573643410853,0.6816931268307682,0.16283924843423797
2017-04-05,0,TBA,478.0,113.0,42.0,58.0,0.23640167364016737,0.3891213389121339,0.2862669245647969,0.6753882634769308,0.15271966527196654
2017-04-06,0,TBA,475.0,113.0,41.0,48.0,0.23789473684210527,0.3642105263157895,0.28793774319066145,0.6521482695064509,0.12631578947368421
2017-04-07,0,TBA,478.0,114.0,40.0,52.0,0.2384937238493724,0.3619246861924686,0.28957528957528955,0.6514999757677582,0.1234309623430962
2017-04-08,0,TBA,481.0,121.0,49.0,57.0,0.2515592515592516,0.37422037422037424,0.30740037950664134,0.6816207537270156,0.12266112266112267
2017-04-09,0,TBA,483.0,118.0,48.0,53.0,0.2443064182194617,0.35610766045548653,0.31098696461824954,0.6670946250737361,0.11180124223602483
2017-04-10,0,TBA,480.0,120.0,53.0,53.0,0.25,0.38333333333333336,0.31835205992509363,0.701685393258427,0.13333333333333336
2017-04-12,0,TBA,476.0,113.0,53.0,52.0,0.23739495798319327,0.3760504201680672,0.30095238095238097,0.6770028011204482,0.13865546218487396
2017-04-13,0,TBA,472.0,111.0,50.0,45.0,0.23516949152542374,0.3686440677966102,0.30210325047801145,0.6707473182746216,0.13347457627118645
2017-04-14,0,TBA,476.0,115.0,52.0,47.0,0.2415966386554622,0.3760504201680672,0.31001890359168244,0.6860693237597497,0.13445378151260504
2017-04-15,0,TBA,480.0,116.0,57.0,49.0,0.24166666666666667,0.39791666666666664,0.3101503759398496,0.7080670426065163,0.15624999999999997
2017-04-16,0,TBA,475.0,115.0,57.0,48.0,0.24210526315789474,0.3957894736842105,0.3150943396226415,0.710883813306852,0.15368421052631578
2017-04-17,0,TBA,475.0,117.0,57.0,54.0,0.2463157894736842,0.4063157894736842,0.32015065913371,0.7264664486073942,0.15999999999999998
2017-04-18,0,TBA,470.0,115.0,55.0,51.0,0.24468085106382978,0.4021276595744681,0.3187022900763359,0.7208299496508039,0.15744680851063833
2017-04-19,0,TBA,467.0,111.0,54.0,50.0,0.23768736616702354,0.3875802997858672,0.3160919540229885,0.7036722538088558,0.14989293361884368
2017-04-20,0,TBA,474.0,120.0,61.0,52.0,0.25316455696202533,0.4092827004219409,0.32892249527410206,0.7382051956960429,0.1561181434599156
2017-04-21,0,TBA,477.0,123.0,64.0,52.0,0.2578616352201258,0.4339622641509434,0.3352059925093633,0.7691682566603066,0.17610062893081763
2017-04-22,0,TBA,480.0,123.0,66.0,54.0,0.25625,0.44375,0.33084112149532713,0.7745911214953272,0.1875
2017-04-23,0,TBA,481.0,122.0,62.0,50.0,0.25363825363825365,0.4386694386694387,0.32264150943396225,0.7613109481034009,0.18503118503118504
2017-04-24,0,TBA,478.0,121.0,63.0,53.0,0.25313807531380755,0.4476987447698745,0.3160919540229885,0.763790698792863,0.19456066945606693
2017-04-25,0,TBA,479.0,119.0,59.0,57.0,0.24843423799582465,0.430062630480167,0.3142857142857143,0.7443483447658813,0.18162839248434237
2017-04-26,0,TBA,480.0,123.0,60.0,51.0,0.25625,0.42916666666666664,0.3295880149812734,0.75875468164794,0.17291666666666666
2017-04-28,0,TBA,485.0,122.0,61.0,51.0,0.2515463917525773,0.4309278350515464,0.3296500920810313,0.7605779271325777,0.1793814432989691
2017-04-29,0,TBA,489.0,126.0,65.0,52.0,0.25766871165644173,0.4601226993865031,0.3357664233576642,0.7958891227441673,0.20245398773006135
2017-04-30,0,TBA,482.0,119.0,56.0,50.0,0.24688796680497926,0.4170124481327801,0.3284132841328413,0.7454257322656215,0.17012448132780084
2017-05-01,0,TBA,482.0,120.0,56.0,51.0,0.24896265560165975,0.4190871369294606,0.33025830258302585,0.7493454395124864,0.17012448132780084
2017-05-02,0,TBA,481.0,118.0,56.0,45.0,0.24532224532224534,0.40332640332640335,0.3333333333333333,0.7366597366597367,0.158004158004158
2017-05-03,0,TBA,477.0,115.0,56.0,45.0,0.24109014675052412,0.39832285115303984,0.34057971014492755,0.7389025612979674,0.15723270440251572
2017-05-04,0,TBA,479.0,114.0,57.0,54.0,0.23799582463465555,0.3966597077244259,0.33574007220216606,0.732399779926592,0.15866388308977034
2017-05-05,0,TBA,472.0,107.0,55.0,47.0,0.2266949152542373,0.3940677966101695,0.3296903460837887,0.7237581426939582,0.1673728813559322
2017-05-06,0,TBA,473.0,103.0,52.0,54.0,0.21775898520084566,0.37209302325581395,0.3242753623188406,0.6963683855746545,0.1543340380549683
2017-05-07,0,TBA,470.0,101.0,55.0,49.0,0.2148936170212766,0.3680851063829787,0.32608695652173914,0.6941720629047179,0.1531914893617021
2017-05-08,0,TBA,465.0,92.0,50.0,48.0,0.1978494623655914,0.33978494623655914,0.31386861313868614,0.6536535593752453,0.14193548387096774
2017-05-09,0,TBA,464.0,94.0,48.0,48.0,0.2025862068965517,0.34698275862068967,0.3180987202925046,0.6650814789131942,0.14439655172413796
2017-05-10,0,TBA,475.0,99.0,51.0,48.0,0.20842105263157895,0.35578947368421054,0.3207885304659498,0.6765780041501603,0.1473684210526316
2017-05-11,0,TBA,482.0,109.0,61.0,49.0,0.22614107883817428,0.3962655601659751,0.33037300177619894,0.726638561942174,0.1701244813278008
2017-05-12,0,TBA,470.0,105.0,57.0,50.0,0.22340425531914893,0.3829787234042553,0.3229357798165138,0.7059145032207691,0.1595744680851064
