,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID
51,CLE201404040,2,7,dozib001,mauej001,willj004,colac001,plout001,arcio001,suzuk001,hicka001,florp001,morgn001,swisn001,kipnj001,santc002,branm003,cabra002,murpd005,gomey001,chisl001
52,DET201404040,4,10,markn001,lougd001,jonea003,davic003,cruzn002,clevs001,schoj001,flahr001,lombs002,kinsi001,huntt001,cabrm001,martv001,jacka001,avila001,castn001,romia001,davir003
53,HOU201404040,11,1,calhk001,troum001,pujoa001,hamij003,freed001,ibanr001,kendh001,iannc001,aybae001,presa001,grosr001,altuj001,kraum001,cartc002,guzmj005,corpc001,domim001,gonzm002
54,KCA201404040,5,7,eatoa002,semim001,gillc001,abrej003,dunna001,garca003,deaza001,ramia003,flowt001,aokin001,infao001,hosme001,butlb003,gorda001,peres002,mousm001,cainl001,escoa003
55,TBA201404040,1,8,choos001,andre001,fielp001,belta001,riosa002,morem001,murpd004,martl004,arenj001,jennd002,myerw001,zobrb001,longe001,forsl001,rodrs002,guyeb001,hanir001,escoy001
56,TOR201404040,7,3,ellsj001,gardb001,beltc001,mccab002,teixm001,johnk003,suzui001,solay001,annad001,cabrm002,rasmc001,bautj002,encae001,linda001,navad001,lawrb002,goinr001,diazj004
57,CHN201404040,7,2,reveb001,ruizc001,utlec001,byrdm001,howar001,browd004,nix-j001,aschc001,carmf001,bonie001,casts001,rizza001,schin001,valbl001,castw002,sweer001,barnd001,woodt004
58,COL201404040,2,12,parrg001,hilla001,goldp001,pradm001,montm001,trumm001,owinc001,polla001,delgr001,blacc001,cuddm001,gonzc001,tulot001,mornj001,rosaw001,arenn001,lemad001,nicaj001
59,LAN201404040,8,4,pagaa001,pench001,sandp001,poseb001,morsm001,beltb001,hickb002,ariaj001,voger001,crawc002,kempm001,ramih003,gonza003,ethia001,uribj002,ellia001,gordd002,ryu-h001
60,MIA201404040,2,8,cabre001,venaw001,headc001,smits002,alony001,gyorj001,denoc001,grany001,stule002,hecha001,bakej001,stanm004,mcgec001,joneg002,saltj001,ozunm001,johnr008,koeht001
61,NYN201404040,3,4,bernr001,philb001,vottj001,brucj001,ludwr001,frazt001,penab002,santr002,leakm001,youne003,murpd006,wrigd002,granc001,dudal001,lagaj001,darnt001,tejar001,mejij001
62,PIT201404040,2,12,carpm002,wongk001,hollm001,craia001,moliy001,adamm002,peraj001,bourp001,mills001,marts002,snidt001,mccua001,alvap001,martr004,walkn001,ishit001,mercj002,coleg001
63,WAS201404040,2,1,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,gatte001,simma001,haled001,spand001,renda001,wertj001,laroa001,zimmr001,harpb003,desmi001,lobaj001,zimmj003
64,BOS201404050,7,6,gomec002,seguj002,lucrj001,ramia001,davik003,schal001,reynm001,genns001,maldm001,sizeg001,pedrd001,navad002,napom001,bogax001,gomej001,piera001,herrj002,bradj001
65,CLE201404050,7,3,dozib001,mauej001,willj004,colac001,plout001,kubej002,pintj001,hicka001,florp001,morgn001,swisn001,kipnj001,santc002,branm003,cabra002,murpd005,gomey001,chisl001
66,DET201404050,6,7,lougd001,cruzn002,davic003,jonea003,markn001,hardj003,wietm001,lombs002,schoj001,kinsi001,huntt001,cabrm001,martv001,jacka001,avila001,gonza002,kelld001,davir003
67,HOU201404050,5,1,cowgc001,troum001,pujoa001,freed001,hamij003,kendh001,iannc001,aybae001,mcdoj003,villj001,grosr001,altuj001,guzmj005,cartc002,domim001,hoesl001,corpc001,gonzm002
68,KCA201404050,3,4,eatoa002,semim001,abrej003,vicid001,gillc001,konep001,deaza001,ramia003,nieta001,aokin001,infao001,hosme001,butlb003,gorda001,peres002,mousm001,cainl001,escoa003
