,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
25,ATL201803310,2,15,hernc005,santc002,herro001,hoskr001,altha001,kings001,franm004,alfaj002,velav001,velav001,incie001,albio001,freef001,markn001,tuckp001,swand001,flahr001,stewc001,mccab001,mccab001
26,CIN201803310,13,7,eatoa002,renda001,harpb003,adamm002,kendh001,turnt001,goodb001,wietm001,stras001,stras001,winkj002,suare001,vottj001,genns001,sches001,duvaa001,peraj003,barnt001,castl003,castl003
27,LAN201803310,0,5,panij002,beltb001,mccua001,poseb001,longe001,crawb001,pench001,blang001,holld003,holld003,taylc001,herne001,puigy001,kempm001,bellc002,forsl001,barna001,farmk001,maedk001,maedk001
28,MIA201803310,10,6,happi001,bryak001,rizza001,contw001,schwk001,russa002,zobrb001,heywj001,darvy001,darvy001,brinl001,dietd001,casts001,bourj002,andeb006,maybc001,rojam002,holab001,despo001,despo001
29,NYN201803310,2,6,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,wongk001,wachm001,wachm001,cabra002,cespy001,brucj001,frazt001,darnt001,gonza003,lagaj001,degrj001,rosaa003,degrj001
30,SDN201803310,7,3,thame001,yelic001,cainl001,shawt001,santd002,sogae001,villj001,bandj001,suteb001,suteb001,margm001,pirej001,hosme001,renfh001,villc002,asuac001,galvf001,hedga001,perdl002,perdl002
31,BAL201803310,6,2,dozib001,mauej001,sanom001,rosae001,morrl001,adrie001,keplm001,buxtb001,castj006,gibsk002,davic003,machm001,schoj001,jonea003,manct001,rasmc001,beckt001,santa003,josec002,casha001
32,KCA201803310,4,3,moncy001,garca003,abrej003,davim005,delmn001,castw002,andet001,sancc001,engea001,gioll001,jay-j001,merrw001,mousm001,dudal001,cuthc001,orlap001,gorda001,escoa003,buted001,kenni001
33,OAK201803310,8,3,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,martj007,river003,shoem001,joycm001,semim001,lowrj001,davik003,olsom001,piscs001,chapm001,poweb002,maxwb001,mengd001
34,SEA201803310,6,5,lindf001,kipnj001,ramij003,encae001,davir003,alony001,guyeb001,gomey001,chisl001,carrc003,gordd002,seguj002,canor001,cruzn002,seagk001,hanim001,healr001,marjm001,suzui001,paxtj001
35,TBA201803310,3,2,bettm001,benia002,ramih003,martj006,bogax001,morem001,nunee002,holtb002,leons001,porcr001,spand001,kierk001,gomec002,millb002,duffm002,wendj002,hecha001,smitm007,sucrj001,kitta001
36,TEX201803310,9,3,sprig001,brega001,altuj001,corrc001,gonzm002,gatte001,davij006,mccab002,marij002,mccul002,andre001,gallj002,belta001,mazan001,choos001,odorr001,centj001,robid003,toccc001,moorm003
37,TOR201803310,3,5,walkn001,judga001,stanm004,gregd001,sancg002,drurb001,mckib001,austt001,wadet002,sabac001,pears001,donaj001,smoaj001,solay001,gricr001,pillk001,diaza003,maill001,ngoeg001,estrm001
38,CIN201804010,6,5,eatoa002,renda001,harpb003,zimmr001,turnt001,taylm002,montm001,gonzg003,difow001,gonzg003,hamib001,suare001,vottj001,duvaa001,genns001,mesod001,sches001,peraj003,romas001,romas001
39,LAN201804010,0,9,jacka001,panij002,mccua001,poseb001,longe001,pench001,beltb001,crawb001,strac001,strac001,taylc001,seagc001,puigy001,grany001,bellc002,herne001,pedej001,farmk001,hillr001,hillr001
40,MIA201804010,0,6,almoa002,bryak001,rizza001,russa002,schwk001,carav001,heywj001,baezj001,quinj001,quinj001,brinl001,dietd001,casts001,andeb006,coopg002,maybc001,rivey001,wallc001,peted001,peted001
41,NYN201804010,5,1,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,gyorj001,weavl001,weavl001,cabra002,cespy001,brucj001,frazt001,florw001,plawk001,lagaj001,matzs001,rosaa003,matzs001
42,BAL201804010,7,0,dozib001,mauej001,sanom001,rosae001,morrl001,escoe001,buxtb001,keplm001,garvm001,berrj001,davic003,machm001,schoj001,jonea003,manct001,rasmc001,beckt001,alvap001,siscc001,gausk001
43,DET201804011,1,0,fraza001,harrj002,polag001,bellj005,dickc002,marts002,cervf001,morac001,mercj002,willt002,martl004,candj002,cabrm001,castn001,martv001,hickj001,mahtm001,iglej001,machd001,fulmm001
44,DET201804012,8,6,harrj002,mercj002,marts002,bellj005,cervf001,freed001,polag001,rodrs002,diaze005,kuhlc001,machd001,candj002,cabrm001,castn001,goodn002,mccaj001,jonej006,iglej001,reyev001,carpr001
45,OAK201804010,7,4,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,martj007,maldm001,ohtas001,semim001,lowrj001,olsom001,davik003,joycm001,piscs001,chapm001,lucrj001,poweb002,gossd001
46,SEA201804010,4,5,lindf001,kipnj001,ramij003,alony001,encae001,chisl001,perer003,naqut001,zimmb001,bauet001,gordd002,seguj002,canor001,hanim001,seagk001,voged001,healr001,suzui001,freid001,leakm001
47,TBA201804010,2,1,bettm001,dever001,martj006,bogax001,morem001,vazqc001,bradj001,swihb001,holtb002,velah001,spand001,kierk001,gomec002,millb002,duffm002,wendj002,ramow001,smitm007,hecha001,farij001
48,TEX201804010,8,2,sprig001,brega001,altuj001,corrc001,gonzm002,gatte001,marij002,stasm001,fishd001,coleg001,andre001,gallj002,belta001,mazan001,chirr001,odorr001,rua-r001,profj001,robid003,minom001
49,TOR201804010,4,7,gardb001,judga001,stanm004,gregd001,walkn001,drurb001,andum001,wadet002,romia002,grays001,travd001,donaj001,smoaj001,solay001,granc001,gricr001,martr004,pillk001,ngoeg001,strom001
50,ARI201804020,7,8,pedej001,seagc001,puigy001,grany001,bellc002,kempm001,utlec001,forsl001,ryu-h001,ryu-h001,perad001,martk001,goldp001,polla001,owinc001,lambj001,ahmen001,avila001,walkt004,walkt004
51,ATL201804020,8,1,turnt001,renda001,harpb003,zimmr001,kendh001,taylm002,difow001,sevep001,roart001,roart001,incie001,albio001,freef001,markn001,tuckp001,swand001,flahr001,stewc001,newcs001,newcs001
