,Game ID,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
1401,ANA201607200,profj001,desmi001,belta001,rua-r001,odorr001,andre001,morem001,chirr001,mazan001,perem004,escoy001,calhk001,troum001,pujoa001,martj007,simma001,bandj001,giavj001,cunnt001,santh001
1402,BOS201607200,spand001,pagaa001,beltb001,poseb001,crawb001,willm008,greeg002,browt002,penar002,cainm001,bettm001,pedrd001,bogax001,ortid001,ramih003,bradj001,shawt001,leons001,holtb002,pomed001
1403,DET201607200,nunee002,mauej001,sanom001,dozib001,keplm001,vargk001,rosae001,suzuk001,buxtb001,sante001,kinsi001,maybc001,cabrm001,martv001,castn001,uptoj001,avilm001,mccaj001,romia001,verlj001
1404,KCA201607200,santc002,kipnj001,lindf001,napom001,ramij003,chisl001,davir003,naqut001,perer003,carrc003,escoa003,cuthc001,hosme001,morak001,peres002,orlap001,eibnb001,dysoj001,coloc002,kenni001
1405,NYA201607200,rickj001,schoj001,jonea003,trumm001,alvap001,hardj003,reimn001,flahr001,josec002,gally001,gardb001,ellsj001,beltc001,mccab002,teixm001,gregd001,casts001,hicka001,torrr001,pinem001
1406,OAK201607200,sprig001,gonzm002,altuj001,corrc001,valbl001,rasmc001,gatte001,reeda002,castj006,fistd001,crisc001,semim001,reddj001,davik003,vogts001,alony001,healr001,smolj002,alcaa001,mengd001
1407,SEA201607200,eatoa002,cabrm002,abrej003,mornj001,frazt001,shucj001,lawrb002,navad001,salat001,gonzm003,aokin001,smits002,canor001,cruzn002,seagk001,linda001,martl004,zunim001,omals001,hernf002
1408,ARI201607200,barnd001,donaj001,encae001,martr004,tulot001,pillk001,lakej001,travd001,strom001,strom001,seguj002,bourm001,goldp001,lambj001,drurb001,tomay001,goset001,ahmen001,corbp001,corbp001
1409,CHN201607200,reyej001,granc001,florw001,lonej001,darnt001,johnk003,lagaj001,confm001,colob001,colob001,zobrb001,bryak001,rizza001,contw001,heywj001,russa002,montm001,baezj001,hendk001,hendk001
1410,CIN201607200,petej002,darnc001,freef001,markn001,garca004,incie001,piera001,aybae001,harrl002,harrl002,cozaz001,hamib001,vottj001,brucj001,suare001,philb001,peraj003,barnt001,desca001,desca001
1411,COL201607200,forsl001,guyeb001,longe001,pears001,souzs001,dickc002,beckt001,casac001,archc001,archc001,blacc001,lemad001,arenn001,gonzc001,stort001,descd001,reynm001,woltt001,delaj001,delaj001
1412,PHI201607200,realj001,pradm001,yelic001,stanm004,ozunm001,dietd001,johnc003,rojam002,chenw001,chenw001,bourp001,goedt001,franm004,joset001,ruizc001,parej002,galvf001,hernc005,hellj001,hellj001
1413,PIT201607200,villj001,pereh001,braur002,lucrj001,cartc002,genns001,middw001,florr003,andec001,andec001,polag001,marts002,mccua001,freed001,cervf001,kangj001,harrj002,mercj002,lockj001,lockj001
1414,SLN201607201,jankt001,schir001,myerw001,solay001,uptob001,dicka001,bethc001,amara001,rea-c001,rea-c001,gricr001,diaza003,piscs001,hollm001,adamm002,moliy001,gyorj001,wongk001,martc006,martc006
1415,SLN201607202,jankt001,myerw001,kempm001,solay001,norrd001,dicka001,rosaa001,ramia003,clemp002,clemp002,garcg002,gyorj001,piscs001,adamm002,phamt001,hazej001,wongk001,rosaa002,garcj004,garcj004
1416,WAS201607200,kendh001,taylc001,turnj001,gonza003,vanss001,puigy001,grany001,culbc001,norrb001,norrb001,reveb001,wertj001,murpd006,harpb003,ramow001,renda001,turnt001,espid001,gonzg003,gonzg003
1417,BOS201607210,nunee002,mauej001,sanom001,dozib001,keplm001,vargk001,grosr001,suzuk001,rosae001,dufft001,bettm001,pedrd001,bogax001,ortid001,ramih003,bradj001,shawt001,hanir001,holtb002,wrigs001
1418,CHA201607210,kinsi001,maybc001,cabrm001,martv001,castn001,uptoj001,saltj001,avilm001,iglej001,pelfm001,eatoa002,andet001,cabrm002,abrej003,mornj001,frazt001,lawrb002,shucj001,navad001,shiej002
1419,NYA201607210,reimn001,schoj001,machm001,trumm001,davic003,hardj003,flahr001,josec002,borbj001,tillc001,gardb001,ellsj001,beltc001,mccab002,teixm001,gregd001,rodra001,casts001,torrr001,sabac001
1420,OAK201607210,forsl001,millb002,longe001,dickc002,souzs001,kierk001,guyeb001,beckt001,maill001,moorm003,semim001,lowrj001,reddj001,valed001,davik003,butlb003,vogts001,smolj002,healr001,grays001
1421,COL201607210,petej002,beckg001,freef001,markn001,garca004,incie001,piera001,aybae001,foltm001,foltm001,blacc001,lemad001,gonzc001,stort001,descd001,rabur001,hundn001,adamc001,bettc001,bettc001
1422,PHI201607210,suzui001,pradm001,yelic001,ozunm001,dietd001,johnc003,mathj001,hecha001,koeht001,koeht001,herro001,bourp001,franm004,howar001,ruppc001,aschc001,galvf001,hernc005,eickj001,eickj001
1423,PIT201607210,villj001,elmoj001,braur002,cartc002,pereh001,genns001,middw001,maldm001,garzm001,garzm001,fraza001,polag001,mccua001,joycm001,freed001,jasoj001,mercj002,fryee001,lirif001,lirif001
1424,SLN201607210,jankt001,myerw001,kempm001,solay001,uptob001,schir001,norrd001,ramia003,casha001,casha001,gyorj001,diaza003,hollm001,adamm002,moliy001,gricr001,phamt001,garcg002,waina001,waina001
1425,WAS201607210,utlec001,kendh001,gonza003,turnj001,pedej001,taylc001,tolea001,ellia001,uriaj001,uriaj001,turnt001,taylm002,murpd006,harpb003,renda001,ramow001,heisc001,espid001,stras001,stras001
