Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20140919,0,MIN,AL,153,5,39,11,1,0,2,5,0,0,0,2,2,12,1,0,0,8,5,4,4,1,0,30,10,2,0,0,0
20140920,0,MIN,AL,154,3,36,10,1,0,1,3,0,0,0,1,0,14,0,1,0,7,5,7,7,0,0,27,6,0,0,1,0
20140921,0,MIN,AL,155,2,34,7,3,0,0,2,0,0,0,1,0,15,0,0,0,6,5,5,5,0,1,27,9,2,0,1,0
20140922,0,MIN,AL,156,2,33,7,1,0,0,2,0,0,1,3,0,8,0,1,0,8,5,6,6,1,0,27,8,0,0,1,0
20140923,0,MIN,AL,157,6,32,12,1,0,0,5,0,1,2,2,1,6,1,0,2,7,4,2,2,1,0,27,7,1,0,1,0
20140924,0,MIN,AL,158,2,25,4,2,0,0,2,1,1,1,4,0,10,0,0,0,6,2,1,1,0,0,27,5,1,0,0,0
20150413,0,MIN,AL,7,3,31,7,2,0,1,3,0,1,0,1,0,7,0,0,2,3,6,10,10,0,0,27,12,2,1,1,0
20150415,0,MIN,AL,8,3,28,5,0,0,1,3,0,1,0,1,0,7,0,1,0,3,4,1,1,0,0,27,13,0,0,2,0
20150416,0,MIN,AL,9,8,37,14,2,0,2,7,0,1,0,2,0,2,0,0,1,8,6,5,5,2,0,27,12,2,0,0,0
20150417,0,MIN,AL,10,3,35,6,0,0,1,2,2,0,1,4,3,10,1,0,1,9,6,2,2,1,0,33,12,0,0,1,0
20150418,0,MIN,AL,11,2,31,6,3,0,1,2,0,0,0,3,0,14,0,0,1,5,3,4,4,1,0,27,11,0,0,0,0
20150419,0,MIN,AL,12,7,34,11,2,0,1,7,0,1,1,3,0,5,0,0,0,8,3,2,2,0,0,27,4,1,0,1,0
20150427,0,MIN,AL,19,4,34,9,4,0,0,4,1,1,0,2,0,8,0,0,0,7,3,5,5,1,0,27,15,0,0,4,0
20150428,0,MIN,AL,20,3,32,10,1,0,0,3,1,0,0,1,0,6,1,0,0,7,3,1,1,0,0,27,8,1,0,1,0
20150429,0,MIN,AL,21,7,38,13,1,0,2,7,0,0,1,1,0,13,0,1,2,6,6,10,10,0,0,27,9,0,0,0,0
20150430,0,MIN,AL,22,12,38,13,3,0,1,12,0,0,0,2,0,7,0,0,0,4,4,2,2,0,0,27,11,0,0,0,0
20150501,0,MIN,AL,23,1,28,7,0,0,0,0,0,0,0,3,0,6,1,0,2,6,2,0,0,0,0,27,14,3,0,2,0
20150502,0,MIN,AL,24,5,33,11,2,0,2,5,0,1,0,3,0,4,0,0,1,8,6,3,3,0,0,27,14,1,0,3,0
20150503,0,MIN,AL,25,13,45,19,1,1,2,12,0,0,1,1,0,8,0,0,1,10,4,2,2,0,0,27,15,1,0,4,0
20150504,0,MIN,AL,26,8,36,13,5,0,1,8,0,0,0,2,0,8,1,1,1,6,4,7,7,0,0,27,10,0,0,0,0
20150505,0,MIN,AL,27,1,32,5,0,0,0,1,0,0,0,1,0,9,0,1,0,5,5,2,2,0,0,27,9,0,0,1,0
20150506,0,MIN,AL,28,13,35,12,2,1,3,13,0,1,1,4,0,6,0,0,1,4,3,0,0,1,0,27,13,0,0,1,0
20150507,0,MIN,AL,29,6,28,5,1,0,0,5,0,1,0,6,0,6,1,0,1,5,5,5,5,0,0,27,8,0,0,0,0
20150515,0,MIN,AL,36,3,33,9,2,1,1,3,0,1,0,0,0,6,0,0,0,7,3,2,2,1,0,27,8,0,0,0,0
20150516,0,MIN,AL,37,6,31,11,2,0,1,6,0,1,1,5,0,5,0,1,2,8,4,4,4,0,0,27,7,0,0,0,0
20150517,0,MIN,AL,38,3,31,6,1,0,0,3,0,0,0,2,0,9,2,0,2,3,6,11,11,1,0,27,13,1,0,0,0
20150525,0,MIN,AL,44,7,37,16,3,0,1,7,0,1,0,2,0,8,2,0,1,9,3,2,2,0,1,27,10,0,0,1,0
20150526,0,MIN,AL,45,2,30,7,3,0,0,2,0,0,1,1,0,4,0,0,2,6,3,1,1,1,0,27,13,0,0,2,0
20150527,0,MIN,AL,46,6,29,8,0,0,2,6,0,0,0,2,0,2,0,1,2,1,6,4,4,1,0,27,10,0,0,0,0
20150529,0,MIN,AL,47,4,31,6,2,0,0,4,0,1,0,0,0,3,0,1,1,1,7,6,6,0,0,27,13,0,0,1,0
20150530,0,MIN,AL,48,3,29,9,2,1,1,3,1,0,0,3,0,6,0,2,1,6,5,1,1,0,0,27,10,2,0,3,0
20150531,0,MIN,AL,49,6,32,9,3,0,1,6,0,1,0,1,0,6,1,0,1,4,6,4,4,0,0,27,13,2,0,1,0
20150605,0,MIN,AL,54,5,37,10,0,0,1,5,0,0,0,1,1,7,0,0,0,6,6,10,10,0,0,27,12,2,0,1,0
20150606,0,MIN,AL,55,2,31,7,2,0,1,2,2,0,0,1,0,5,0,0,2,5,5,3,3,1,0,27,13,1,0,2,0
20150607,0,MIN,AL,56,2,32,9,1,1,0,2,0,0,0,4,0,5,0,0,0,10,2,0,0,1,0,27,11,0,0,3,0
20150608,0,MIN,AL,57,1,32,8,1,0,1,1,0,0,1,1,0,6,0,1,2,6,3,3,3,1,0,27,11,0,0,1,0
20150609,0,MIN,AL,58,0,27,1,0,1,0,0,0,0,0,4,0,5,1,1,0,4,5,2,2,2,0,27,10,0,0,1,0
20150610,0,MIN,AL,59,2,33,7,0,0,1,2,0,0,0,3,0,8,0,0,2,7,2,4,4,0,0,27,10,3,0,1,0
20150617,0,MIN,AL,65,3,29,7,3,1,0,2,0,1,1,3,0,8,0,0,0,7,3,1,1,0,0,27,12,0,0,1,0
20150618,0,MIN,AL,66,2,30,7,0,0,2,2,1,0,0,4,1,6,0,0,2,7,2,1,1,0,0,27,10,0,0,1,0
20150619,0,MIN,AL,67,7,34,12,6,1,0,5,0,0,0,2,0,3,1,1,1,5,2,2,2,0,0,27,9,0,0,1,0
20150620,0,MIN,AL,68,1,32,7,0,0,1,1,0,0,0,5,0,8,2,1,2,6,5,2,2,0,0,30,7,1,0,2,0
